КССС|Веса|МАРЕ
1059|(0.07, 0.05, 0.88)|9.97
1060|(0.08, 0.00, 0.92)|6.56
1062|(0.11, 0.03, 0.86)|7.42
1063|(0.01, 0.01, 0.98)|10.70
1064|(0.07, 0.08, 0.85)|8.79
1066|(0.07, 0.00, 0.93)|8.90
1067|(0.05, 0.11, 0.84)|13.14
1068|(0.16, 0.22, 0.62)|9.93
1069|(0.58, 0.08, 0.34)|12.13
1070|(0.00, 0.06, 0.94)|11.98
1071|(0.11, 0.07, 0.82)|8.88
1072|(0.16, 0.00, 0.84)|23.55
1073|(0.00, 0.04, 0.96)|8.97
1075|(0.00, 0.70, 0.30)|253.02
1077|(0.33, 0.08, 0.59)|9.00
1078|(0.19, 0.28, 0.53)|10.10
1079|(1.00, 0.00, 0.00)|90.70
1081|(0.00, 0.00, 1.00)|178.12
1083|(0.02, 0.01, 0.97)|10.05
1084|(0.13, 0.03, 0.84)|8.00
1087|(0.36, 0.17, 0.47)|13.23
1089|(0.10, 0.28, 0.62)|11.43
1092|(0.05, 0.05, 0.90)|11.15
1094|(0.04, 0.07, 0.89)|10.68
1095|(0.00, 0.40, 0.60)|13.00
1097|(0.03, 0.00, 0.97)|9.36
1098|(0.00, 0.11, 0.89)|12.68
1101|(0.06, 0.02, 0.92)|7.26
1102|(0.04, 0.00, 0.96)|9.58
1104|(0.04, 0.03, 0.93)|7.79
1105|(0.10, 0.07, 0.83)|8.49
1106|(0.04, 0.00, 0.96)|7.56
1107|(0.16, 0.17, 0.67)|10.81
1108|(0.44, 0.07, 0.49)|15.83
1110|(0.03, 0.00, 0.97)|7.15
1112|(0.00, 0.33, 0.67)|146.87
1113|(0.00, 0.00, 1.00)|14.71
1114|(0.02, 0.14, 0.84)|7.77
1115|(0.00, 0.47, 0.53)|18.56
1116|(0.00, 0.09, 0.91)|11.50
1119|(0.07, 0.05, 0.88)|14.43
1120|(0.08, 0.16, 0.76)|21.62
1121|(0.00, 0.04, 0.96)|16.20
1122|(0.00, 0.05, 0.95)|14.49
1252|(0.00, 0.54, 0.46)|14.63
1253|(0.00, 0.81, 0.19)|16.17
1254|(0.35, 0.30, 0.35)|14.88
1255|(0.58, 0.18, 0.24)|11.05
1256|(0.00, 0.89, 0.11)|46.81
1257|(1.00, 0.00, 0.00)|19.34
1259|(0.14, 0.06, 0.80)|9.25
1260|(0.06, 0.02, 0.92)|10.99
1261|(0.16, 0.07, 0.77)|10.44
1262|(0.26, 0.32, 0.42)|17.25
1263|(0.60, 0.04, 0.36)|14.35
1264|(0.47, 0.18, 0.35)|13.76
1265|(0.00, 0.41, 0.59)|36.18
1266|(0.37, 0.22, 0.41)|9.14
1268|(0.33, 0.03, 0.64)|11.35
1269|(0.95, 0.00, 0.05)|18.67
1270|(0.00, 0.23, 0.77)|12.19
1271|(1.00, 0.00, 0.00)|73.03
1273|(0.40, 0.00, 0.60)|159.08
1274|(0.67, 0.02, 0.31)|10.15
1275|(0.42, 0.14, 0.44)|17.19
1278|(0.72, 0.00, 0.28)|15.46
1279|(0.55, 0.04, 0.41)|7.56
1751|(0.25, 0.19, 0.56)|30.73
1752|(0.39, 0.21, 0.40)|10.40
1756|(0.02, 0.09, 0.89)|6.56
1765|(0.81, 0.06, 0.13)|13.84
1767|(1.00, 0.00, 0.00)|92.04
1768|(0.15, 0.05, 0.80)|8.57
1770|(0.87, 0.07, 0.06)|13.99
1772|(0.00, 0.21, 0.79)|15.49
1774|(0.00, 0.29, 0.71)|10.99
1775|(1.00, 0.00, 0.00)|42.06
1776|(0.48, 0.08, 0.44)|12.78
1777|(0.10, 0.06, 0.84)|7.82
1779|(0.92, 0.00, 0.08)|18.50
1780|(0.00, 0.10, 0.90)|13.38
1781|(0.03, 0.01, 0.96)|6.93
1783|(0.95, 0.00, 0.05)|16.68
1785|(0.00, 0.39, 0.61)|17.68
1788|(0.65, 0.35, 0.00)|11.92
1789|(0.28, 0.09, 0.63)|26.34
1791|(0.11, 0.89, 0.00)|95.94
1794|(0.37, 0.03, 0.60)|19.12
1798|(0.27, 0.00, 0.73)|14.98
1801|(0.10, 0.00, 0.90)|10.26
1803|(0.02, 0.32, 0.66)|20.78
1805|(0.33, 0.67, -0.00)|56.63
1808|(0.74, 0.00, 0.26)|15.58
1809|(0.00, 0.31, 0.69)|56.60
1810|(0.30, 0.46, 0.24)|21.39
1811|(0.51, 0.08, 0.41)|19.73
1814|(0.43, 0.02, 0.55)|9.20
1822|(0.00, 0.72, 0.28)|49.56
