АЗС,Лучшая модель,MAPE
3138,RandomForest,2.861
9222,RandomForest,2.893
136920,RandomForest,2.981
9320,HoltWinters,3.0
3755,RandomForest,3.001
3389,SARIMAX,3.047
139407,HoltWinters,3.152
133674,HoltWinters,3.18
64403,HoltWinters,3.187
5037,HoltWinters,3.259
3348,RandomForest,3.288
1266,RandomForest,3.289
133577,RandomForest,3.312
132203,HoltWinters,3.382
3143,SARIMAX,3.406
133689,SARIMAX,3.433
66209,RandomForest,3.47
133686,HoltWinters,3.476
133715,RandomForest,3.507
5073,RandomForest,3.512
136897,SARIMAX,3.513
133702,SARIMAX,3.519
133597,SARIMAX,3.52
3008,SARIMAX,3.525
9431,HoltWinters,3.55
136805,SARIMAX,3.562
7330,RandomForest,3.566
3954,HoltWinters,3.575
3328,RandomForest,3.588
133629,SARIMAX,3.592
133680,HoltWinters,3.604
2092,SARIMAX,3.619
160014,HoltWinters,3.647
3982,HoltWinters,3.651
166002,HoltWinters,3.682
133653,HoltWinters,3.703
3722,SARIMAX,3.711
9321,RandomForest,3.723
125616,HoltWinters,3.742
133685,SARIMAX,3.753
6405,HoltWinters,3.758
124401,HoltWinters,3.764
3745,HoltWinters,3.783
8796,HoltWinters,3.783
5000,HoltWinters,3.805
133666,RandomForest,3.837
9748,HoltWinters,3.843
3368,HoltWinters,3.855
1274,SARIMAX,3.864
9378,RandomForest,3.871
50601,HoltWinters,3.884
133770,RandomForest,3.887
1949,HoltWinters,3.894
3009,RandomForest,3.905
3359,HoltWinters,3.911
133638,SARIMAX,3.913
132002,RandomForest,3.928
126204,RandomForest,3.932
133645,SARIMAX,3.943
64405,RandomForest,3.943
136803,SARIMAX,3.945
2993,SARIMAX,3.947
3739,SARIMAX,3.953
155103,SARIMAX,3.957
3410,SARIMAX,3.96
9333,HoltWinters,3.969
3364,HoltWinters,3.972
125606,HoltWinters,3.975
1969,SARIMAX,3.986
3350,RandomForest,3.989
3127,HoltWinters,3.999
125604,HoltWinters,4.007
7079,HoltWinters,4.01
133738,RandomForest,4.018
3132,SARIMAX,4.022
6452,HoltWinters,4.027
5099,RandomForest,4.039
133785,RandomForest,4.047
