АЗС,Лучшая модель,MAPE,error
9337,HoltWinters,3.972,
7131,HoltWinters,4.091,
145001,HoltWinters,4.097,
92405,HoltWinters,4.109,
124002,HoltWinters,4.139,
7126,HoltWinters,4.153,
3144,HoltWinters,4.328,
133656,HoltWinters,4.409,
133296,HoltWinters,4.415,
134170,HoltWinters,4.421,
9333,HoltWinters,4.491,
132203,HoltWinters,4.494,
9719,HoltWinters,4.495,
5000,HoltWinters,4.546,
5015,HoltWinters,4.599,
5035,HoltWinters,4.641,
9346,HoltWinters,4.676,
1890,HoltWinters,4.692,
3749,HoltWinters,4.705,
84802,HoltWinters,4.705,
6429,HoltWinters,4.769,
1756,HoltWinters,4.779,
3127,HoltWinters,4.844,
49212,HoltWinters,4.865,
1071,HoltWinters,4.906,
5041,HoltWinters,5.077,
129003,HoltWinters,5.117,
1781,HoltWinters,5.122,
83602,HoltWinters,5.132,
133531,HoltWinters,5.136,
133291,HoltWinters,5.14,
1104,HoltWinters,5.142,
133487,HoltWinters,5.153,
136930,HoltWinters,5.173,
3331,HoltWinters,5.182,
3009,HoltWinters,5.199,
133455,HoltWinters,5.215,
92203,HoltWinters,5.24,
2903,HoltWinters,5.245,
133210,HoltWinters,5.264,
133256,HoltWinters,5.268,
3381,HoltWinters,5.288,
3408,HoltWinters,5.288,
91401,HoltWinters,5.34,
153002,HoltWinters,5.345,
3171,HoltWinters,5.356,
160071,HoltWinters,5.398,
1788,HoltWinters,5.465,
133471,HoltWinters,5.532,
1908,HoltWinters,5.623,
160012,HoltWinters,5.623,
3217,HoltWinters,5.629,
133569,HoltWinters,5.646,
3714,HoltWinters,5.648,
3497,HoltWinters,5.659,
5063,HoltWinters,5.705,
6428,HoltWinters,5.709,
1107,HoltWinters,5.719,
3955,HoltWinters,5.729,
7339,HoltWinters,5.742,
155022,HoltWinters,5.763,
136803,HoltWinters,5.766,
3132,HoltWinters,5.768,
1062,HoltWinters,5.779,
2653,HoltWinters,5.788,
1916,HoltWinters,5.794,
134072,HoltWinters,5.795,
8750,HoltWinters,5.798,
3984,HoltWinters,5.835,
1777,HoltWinters,5.863,
134140,HoltWinters,5.863,
1904,HoltWinters,5.867,
2994,HoltWinters,5.868,
6467,HoltWinters,5.916,
3739,HoltWinters,5.936,
133644,HoltWinters,5.973,
153001,HoltWinters,6.0,
133459,HoltWinters,6.026,
133616,HoltWinters,6.029,
155054,HoltWinters,6.04,
133506,HoltWinters,6.155,
8160,HoltWinters,6.158,
3173,HoltWinters,6.168,
136915,HoltWinters,6.245,
3056,HoltWinters,6.256,
166003,HoltWinters,6.284,
3498,HoltWinters,6.286,
133397,HoltWinters,6.299,
1112,HoltWinters,6.302,
163005,HoltWinters,6.306,
133367,HoltWinters,6.324,
133536,HoltWinters,6.352,
3163,HoltWinters,6.377,
3135,HoltWinters,6.426,
2451,HoltWinters,6.431,
125613,HoltWinters,6.435,
1906,HoltWinters,6.462,
2615,HoltWinters,6.468,
133372,HoltWinters,6.491,
5091,HoltWinters,6.538,
1892,HoltWinters,6.539,
2736,HoltWinters,6.548,
1888,HoltWinters,6.561,
2911,HoltWinters,6.564,
2997,HoltWinters,6.587,
3435,HoltWinters,6.605,
1855,HoltWinters,6.611,
128201,HoltWinters,6.629,
39206,HoltWinters,6.647,
3954,HoltWinters,6.674,
3342,HoltWinters,6.688,
5102,HoltWinters,6.702,
3274,HoltWinters,6.708,
9755,HoltWinters,6.727,
133227,HoltWinters,6.762,
1072,HoltWinters,6.786,
155060,HoltWinters,6.79,
133267,HoltWinters,6.794,
6448,HoltWinters,6.824,
3967,HoltWinters,6.829,
3361,HoltWinters,6.834,
6438,HoltWinters,6.866,
3715,HoltWinters,6.87,
9320,HoltWinters,6.883,
2828,HoltWinters,6.896,
9310,HoltWinters,6.914,
9745,HoltWinters,6.93,
3802,HoltWinters,6.938,
3817,HoltWinters,6.939,
160074,HoltWinters,6.962,
133667,HoltWinters,7.009,
135043,HoltWinters,7.018,
155083,HoltWinters,7.026,
134163,HoltWinters,7.039,
134005,HoltWinters,7.041,
6424,HoltWinters,7.084,
2192,HoltWinters,7.093,
133212,HoltWinters,7.137,
3340,HoltWinters,7.153,
2877,HoltWinters,7.175,
133599,HoltWinters,7.176,
133573,HoltWinters,7.19,
2174,HoltWinters,7.195,
1896,HoltWinters,7.207,
155003,HoltWinters,7.21,
9812,HoltWinters,7.227,
135076,HoltWinters,7.242,
92202,HoltWinters,7.252,
65401,HoltWinters,7.257,
3348,HoltWinters,7.265,
133323,HoltWinters,7.28,
1768,HoltWinters,7.284,
3813,HoltWinters,7.286,
133717,HoltWinters,7.287,
3822,HoltWinters,7.32,
3805,HoltWinters,7.349,
3346,HoltWinters,7.366,
8796,HoltWinters,7.405,
3818,HoltWinters,7.411,
6417,HoltWinters,7.414,
5097,HoltWinters,7.428,
133630,HoltWinters,7.43,
155021,HoltWinters,7.462,
2608,HoltWinters,7.488,
133240,HoltWinters,7.49,
134053,HoltWinters,7.519,
125617,HoltWinters,7.527,
133657,HoltWinters,7.527,
133356,HoltWinters,7.557,
3146,HoltWinters,7.564,
134034,HoltWinters,7.585,
3318,HoltWinters,7.592,
1121,HoltWinters,7.614,
3809,HoltWinters,7.619,
133747,HoltWinters,7.621,
133701,HoltWinters,7.631,
155084,HoltWinters,7.65,
2235,HoltWinters,7.66,
135055,HoltWinters,7.71,
