KSSS,MAPE_ML,ML_model,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1059,7.751,SARIMAX,9.94,10.801,МЛ,SARIMAX
1060,5.629,RandomForest,6.63,7.147,МЛ,RandomForest
1062,5.092,SARIMAX,7.41,8.406,МЛ,SARIMAX
1063,12.459,SARIMAX,10.72,12.08,веса,"(0.01, 0.01, 0.98)"
1064,6.805,RandomForest,8.75,11.557,МЛ,RandomForest
1066,7.167,RandomForest,9.01,8.956,МЛ,RandomForest
1067,8.292,SARIMAX,13.06,14.612,МЛ,SARIMAX
1068,6.666,SARIMAX,10.04,11.529,МЛ,SARIMAX
1071,7.344,RandomForest,8.77,8.608,МЛ,RandomForest
1072,6.943,SARIMAX,23.13,30.395,МЛ,SARIMAX
