KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
5099,0.23,0.68,0.09,9.37,RandomForest,3.605,ml,RandomForest,,,,3.605
133674,0.52,0.08,0.4,7.0,RandomForest,3.78,ml,RandomForest,,,,3.78
162602,0.04,0.3,0.66,8.15,SARIMAX,3.915,ml,SARIMAX,,,,3.915
160008,0.0,0.48,0.52,11.38,RandomForest,3.968,ml,RandomForest,,,,3.968
9337,0.0,0.56,0.44,18.62,HoltWinters,3.972,ml,HoltWinters,,,,3.972
7131,0.19,0.14,0.67,8.96,HoltWinters,4.091,ml,HoltWinters,,,,4.091
145001,0.0,0.05,0.95,8.88,HoltWinters,4.097,ml,HoltWinters,,,,4.097
92405,0.35,0.61,0.04,16.1,HoltWinters,4.109,ml,HoltWinters,,,,4.109
124002,0.0,0.38,0.62,10.14,HoltWinters,4.139,ml,HoltWinters,,,,4.139
7126,0.09,0.22,0.69,13.5,HoltWinters,4.153,ml,HoltWinters,,,,4.153
3853,0.05,0.3,0.65,11.5,SARIMAX,4.155,ml,SARIMAX,,,,4.155
133719,0.94,0.0,0.06,10.81,RandomForest,4.237,ml,RandomForest,,,,4.237
1060,0.07,0.0,0.93,7.06,RandomForest,4.288,ml,RandomForest,,,,4.288
3144,0.0,0.33,0.67,12.64,HoltWinters,4.328,ml,HoltWinters,,,,4.328
3651,0.14,0.09,0.77,8.04,SARIMAX,4.351,ml,SARIMAX,,,,4.351
6416,0.0,0.39,0.61,14.47,SARIMAX,4.382,ml,SARIMAX,,,,4.382
133656,0.19,0.11,0.7,8.14,HoltWinters,4.409,ml,HoltWinters,,,,4.409
133296,0.24,0.05,0.71,9.02,HoltWinters,4.415,ml,HoltWinters,,,,4.415
134170,0.74,0.11,0.15,10.77,HoltWinters,4.421,ml,HoltWinters,,,,4.421
7073,0.0,0.74,0.26,106.15,RandomForest,4.435,ml,RandomForest,,,,4.435
2993,0.08,0.57,0.35,14.24,SARIMAX,4.437,ml,SARIMAX,,,,4.437
5972,0.5,0.37,0.13,10.89,RandomForest,4.457,ml,RandomForest,,,,4.457
3729,0.32,0.0,0.68,6.94,RandomForest,4.466,ml,RandomForest,,,,4.466
1907,0.0,0.37,0.63,54.7,RandomForest,4.491,ml,RandomForest,,,,4.491
