KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,current_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
159201,,,,,,,6.618,current,current,,,,6.618
57402,,,,,,,6.684,current,current,,,,6.684
135057,0.0,0.3,0.7,17.08,HoltWinters,10.805,7.524,current,current,,,,7.524
133589,0.75,0.15,0.1,12.96,RandomForest,10.229,7.732,current,current,,,,7.732
3955,0.33,0.09,0.58,9.52,HoltWinters,8.56,8.221,current,current,,,,8.221
63801,0.95,0.03,0.02,11.42,SARIMAX,8.401,8.27,current,current,,,,8.27
125653,,,,,,,8.56,current,current,,,,8.56
5006,0.27,0.25,0.48,10.41,SARIMAX,12.421,8.985,current,current,,,,8.985
155010,0.55,0.12,0.33,12.28,HoltWinters,10.135,9.249,current,current,,,,9.249
134031,0.55,0.13,0.32,10.37,RandomForest,9.55,9.428,current,current,,,,9.428
2879,,,,,,,9.533,current,current,,,,9.533
155013,0.74,0.07,0.19,14.62,SARIMAX,11.966,9.812,current,current,,,,9.812
9404,0.0,0.36,0.64,11.21,SARIMAX,10.24,9.867,current,current,,,,9.867
135033,0.76,0.09,0.15,10.83,SARIMAX,10.986,9.931,current,current,,,,9.931
3972,0.01,0.24,0.75,13.16,SARIMAX,12.891,9.964,current,current,,,,9.964
135015,0.16,0.16,0.68,16.54,SARIMAX,14.217,9.965,current,current,,,,9.965
155110,,,,,,,10.168,current,current,,,,10.168
155083,0.04,0.17,0.79,11.18,SARIMAX,13.437,10.319,current,current,,,,10.319
136939,,,,,,,10.446,current,current,,,,10.446
133591,0.95,0.05,0.0,13.66,RandomForest,11.448,10.618,current,current,,,,10.618
155095,0.28,0.06,0.66,12.52,SARIMAX,16.669,10.694,current,current,,,,10.694
133210,0.35,0.24,0.41,12.44,HoltWinters,10.852,10.769,current,current,,,,10.769
104005,0.23,0.43,0.34,46.8,HoltWinters,15.457,10.78,current,current,,,,10.78
5002,0.27,0.08,0.65,10.95,HoltWinters,13.426,10.825,current,current,,,,10.825
3411,0.36,0.12,0.52,11.82,RandomForest,11.697,10.947,current,current,,,,10.947
155034,0.29,0.38,0.33,12.28,HoltWinters,12.397,11.034,current,current,,,,11.034
4216,0.79,0.07,0.14,17.96,SARIMAX,11.223,11.057,current,current,,,,11.057
3205,0.71,0.08,0.21,14.52,HoltWinters,11.462,11.066,current,current,,,,11.066
160413,0.43,0.33,0.24,11.36,RandomForest,11.386,11.118,current,current,,,,11.118
155094,0.85,0.03,0.12,14.23,RandomForest,23.697,11.123,current,current,,,,11.123
136807,0.31,0.15,0.54,13.85,RandomForest,16.974,11.27,current,current,,,,11.27
3024,0.0,0.17,0.83,14.1,SARIMAX,12.601,11.411,current,current,,,,11.411
134157,0.37,0.44,0.19,12.82,RandomForest,15.007,11.719,current,current,,,,11.719
155027,0.66,0.03,0.31,17.01,SARIMAX,15.846,11.752,current,current,,,,11.752
3173,0.0,0.46,0.54,16.08,SARIMAX,15.761,11.989,current,current,,,,11.989
136938,1.0,0.0,0.0,18.3,SARIMAX,12.618,12.049,current,current,,,,12.049
135016,0.38,0.09,0.53,17.29,SARIMAX,14.213,12.053,current,current,,,,12.053
3367,0.38,0.26,0.36,13.34,RandomForest,14.133,12.063,current,current,,,,12.063
155012,0.88,0.04,0.08,14.13,RandomForest,13.165,12.187,current,current,,,,12.187
163623,0.23,0.28,0.49,12.43,RandomForest,20.252,12.226,current,current,,,,12.226
3312,0.47,0.14,0.39,12.8,RandomForest,13.103,12.34,current,current,,,,12.34
134146,0.58,0.1,0.32,16.46,SARIMAX,13.426,12.422,current,current,,,,12.422
133704,,,,,,,12.46,current,current,,,,12.46
2930,0.79,0.03,0.18,21.11,HoltWinters,12.804,12.486,current,current,,,,12.486
3740,0.52,0.04,0.44,17.72,RandomForest,31.301,12.549,current,current,,,,12.549
134075,0.43,0.41,0.16,18.32,RandomForest,18.722,12.563,current,current,,,,12.563
3961,0.8,0.1,0.1,16.59,SARIMAX,14.105,12.708,current,current,,,,12.708
163625,0.44,0.41,0.15,19.28,RandomForest,23.212,12.899,current,current,,,,12.899
133754,,,,,,,12.917,current,current,,,,12.917
1783,0.96,0.0,0.04,16.73,HoltWinters,14.408,12.924,current,current,,,,12.924
9049,0.43,0.38,0.19,22.89,RandomForest,14.84,12.963,current,current,,,,12.963
3054,0.56,0.18,0.26,14.0,HoltWinters,15.665,13.006,current,current,,,,13.006
135040,0.25,0.03,0.72,15.18,HoltWinters,19.802,13.02,current,current,,,,13.02
1906,,,,,,,13.076,current,current,,,,13.076
3741,0.45,0.06,0.49,17.25,RandomForest,53.399,13.29,current,current,,,,13.29
135038,0.24,0.11,0.65,16.57,RandomForest,25.793,13.309,current,current,,,,13.309
136931,,,,,,,13.326,current,current,,,,13.326
155079,0.9,0.0,0.1,17.68,HoltWinters,17.519,13.376,current,current,,,,13.376
155028,0.45,0.06,0.49,17.73,SARIMAX,18.146,13.377,current,current,,,,13.377
155078,0.83,0.06,0.11,17.57,HoltWinters,27.353,13.497,current,current,,,,13.497
136930,,,,,,,13.776,current,current,,,,13.776
155031,0.74,0.06,0.2,15.68,HoltWinters,25.736,13.795,current,current,,,,13.795
161201,0.43,0.16,0.41,18.83,SARIMAX,30.336,13.806,current,current,,,,13.806
3207,0.63,0.0,0.37,23.05,RandomForest,34.221,13.865,current,current,,,,13.865
134076,0.0,0.49,0.51,23.15,HoltWinters,22.68,14.001,current,current,,,,14.001
133517,0.43,0.4,0.17,16.99,SARIMAX,14.177,14.079,current,current,,,,14.079
7067,0.57,0.02,0.41,21.94,HoltWinters,57.883,14.131,current,current,,,,14.131
163624,0.43,0.33,0.24,16.9,HoltWinters,15.426,14.329,current,current,,,,14.329
159202,,,,,,,14.347,current,current,,,,14.347
150210,0.62,0.29,0.09,24.12,HoltWinters,16.063,14.493,current,current,,,,14.493
6420,0.44,0.12,0.44,15.59,RandomForest,19.32,14.558,current,current,,,,14.558
92403,0.22,0.32,0.46,21.06,HoltWinters,20.288,14.758,current,current,,,,14.758
3360,0.09,0.74,0.17,20.78,RandomForest,29.884,14.95,current,current,,,,14.95
155090,0.0,0.54,0.46,18.83,SARIMAX,15.805,14.994,current,current,,,,14.994
155093,0.56,0.15,0.29,18.74,SARIMAX,24.877,14.994,current,current,,,,14.994
161203,0.49,0.21,0.3,19.89,RandomForest,26.693,15.037,current,current,,,,15.037
155128,0.19,0.33,0.48,16.72,RandomForest,27.37,15.046,current,current,,,,15.046
159203,,,,,,,15.133,current,current,,,,15.133
3129,0.0,0.53,0.47,15.73,HoltWinters,18.122,15.287,current,current,,,,15.287
155016,0.71,0.13,0.16,16.12,RandomForest,16.905,15.337,current,current,,,,15.337
5007,0.0,0.21,0.79,23.79,RandomForest,17.742,15.34,current,current,,,,15.34
133755,,,,,,,15.433,current,current,,,,15.433
155133,0.48,0.16,0.36,16.21,HoltWinters,17.173,16.144,current,current,,,,16.144
133250,,,,,,,16.215,current,current,,,,16.215
5013,0.25,0.1,0.65,17.96,HoltWinters,22.943,16.513,current,current,,,,16.513
125623,0.99,0.0,0.01,17.02,RandomForest,17.002,16.679,current,current,,,,16.679
1867,1.0,0.0,0.0,129.9,RandomForest,109.435,16.877,current,current,,,,16.877
155011,0.88,0.01,0.11,18.47,RandomForest,17.705,17.018,current,current,,,,17.018
7064,0.65,0.08,0.27,24.63,RandomForest,37.885,17.289,current,current,,,,17.289
135039,0.15,0.57,0.28,23.21,SARIMAX,18.284,17.36,current,current,,,,17.36
136922,,,,,,,17.803,current,current,,,,17.803
3986,,,,,,,17.918,current,current,,,,17.918
153810,0.73,0.07,0.2,18.61,SARIMAX,27.621,18.342,current,current,,,,18.342
135046,0.0,1.0,0.0,77.35,HoltWinters,101.974,19.694,current,current,,,,19.694
5095,,,,,,,19.863,current,current,,,,19.863
3962,0.21,0.44,0.35,23.63,HoltWinters,21.824,19.881,current,current,,,,19.881
3140,0.73,0.0,0.27,21.02,HoltWinters,25.335,20.053,current,current,,,,20.053
6394,0.63,0.03,0.34,22.44,RandomForest,50.755,20.289,current,current,,,,20.289
158401,0.82,0.03,0.15,23.98,SARIMAX,24.856,21.831,current,current,,,,21.831
125631,0.75,0.25,0.0,22.72,RandomForest,26.873,22.627,current,current,,,,22.627
150402,,,,,,,23.195,current,current,,,,23.195
1751,,,,,,,24.102,current,current,,,,24.102
1882,,,,,,,24.2,current,current,,,,24.2
2905,0.0,0.65,0.35,28.27,HoltWinters,25.47,24.928,current,current,,,,24.928
1075,,,,,,,25.214,current,current,,,,25.214
1891,,,,,,,32.988,current,current,,,,32.988
155120,,,,,,,36.168,current,current,,,,36.168
133799,,,,,,,36.611,current,current,,,,36.611
133726,,,,,,,39.289,current,current,,,,39.289
133385,,,,,,,40.321,current,current,,,,40.321
2546,0.0,1.0,0.0,70.49,RandomForest,74.81,63.433,current,current,,,,63.433
131803,,,,,,,70.449,current,current,,,,70.449
133510,,,,,,,79.875,current,current,,,,79.875
2992,,,,,,,1329.77,current,current,,,,1329.77
160059,,,,,,,10166.235,current,current,,,,10166.235
3160,,,,,,,15644.115,current,current,,,,15644.115
3138,0.29,0.31,0.4,8.54,RandomForest,2.861,9.905,ml,RandomForest,,,,2.861
9222,0.28,0.21,0.51,8.74,RandomForest,2.893,8.69,ml,RandomForest,,,,2.893
136920,0.0,0.56,0.44,9.62,RandomForest,2.981,11.529,ml,RandomForest,,,,2.981
9320,0.13,0.11,0.76,7.56,HoltWinters,3.0,9.134,ml,HoltWinters,,,,3.0
3755,0.0,0.45,0.55,11.01,RandomForest,3.001,8.637,ml,RandomForest,,,,3.001
3389,0.0,0.31,0.69,14.25,SARIMAX,3.047,37.744,ml,SARIMAX,,,,3.047
139407,0.21,0.07,0.72,8.59,HoltWinters,3.152,8.512,ml,HoltWinters,,,,3.152
133674,0.47,0.16,0.37,6.64,HoltWinters,3.18,6.742,ml,HoltWinters,,,,3.18
64403,0.03,0.29,0.68,7.98,HoltWinters,3.187,15.072,ml,HoltWinters,,,,3.187
5037,0.01,0.11,0.88,14.87,HoltWinters,3.259,9.615,ml,HoltWinters,,,,3.259
3348,0.33,0.02,0.65,6.23,RandomForest,3.288,10.865,ml,RandomForest,,,,3.288
1266,0.35,0.25,0.4,8.06,RandomForest,3.289,7.924,ml,RandomForest,,,,3.289
133577,0.58,0.24,0.18,10.6,RandomForest,3.312,12.78,ml,RandomForest,,,,3.312
132203,0.09,0.24,0.67,9.82,HoltWinters,3.382,9.836,ml,HoltWinters,,,,3.382
3143,0.12,0.63,0.25,10.55,SARIMAX,3.406,11.847,ml,SARIMAX,,,,3.406
