KSSS,MAPE_ML,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1059,8.123,9.94,10.801,МЛ,SARIMAX
1060,5.629,6.63,7.147,МЛ,RandomForest
1062,6.102,7.41,8.406,МЛ,SARIMAX
1063,13.4,10.72,12.08,веса,"(0.01, 0.01, 0.98)"
1064,6.805,8.75,11.557,МЛ,RandomForest
1066,7.167,9.01,8.956,МЛ,RandomForest
1067,8.589,13.06,14.612,МЛ,SARIMAX
1068,10.583,10.04,11.529,веса,"(0.16, 0.26, 0.58)"
1071,7.344,8.77,8.608,МЛ,RandomForest
1072,7.482,23.13,30.395,МЛ,RandomForest
1073,7.013,8.98,11.817,МЛ,RandomForest
1077,6.035,9.05,12.853,МЛ,SARIMAX
1078,10.222,10.06,10.37,веса,"(0.19, 0.29, 0.52)"
1079,12.265,88.48,38.958,МЛ,RandomForest
1081,4.912,9.2,9.473,МЛ,SARIMAX
1083,9.302,10.12,12.493,МЛ,SARIMAX
1084,6.521,8.19,9.72,МЛ,SARIMAX
1087,8.129,13.65,16.217,МЛ,HoltWinters
1089,7.126,11.36,12.026,МЛ,RandomForest
1094,9.601,10.77,13.597,МЛ,RandomForest
1095,6.826,12.93,13.644,МЛ,HoltWinters
