КССС|MAPE, %
1059|10.801
1060|7.147
1062|8.406
1063|12.08
1064|11.557
1066|8.956
1067|14.612
1068|11.529
1071|8.608
1072|30.395
1073|11.817
1075|25.214
1077|12.853
1078|10.37
1079|38.958
1081|9.473
1083|12.493
1084|9.72
1087|16.217
1089|12.026
1094|13.597
1095|13.644
1097|12.241
1101|9.247
1102|12.241
1104|10.267
1106|8.736
1110|9.591
1115|21.358
1116|15.454
1119|15.592
1120|26.68
1121|12.918
1122|15.77
1252|16.495
1254|11.777
1255|9.829
1256|25.516
1257|13.113
1259|14.207
1260|15.65
1261|10.491
1262|18.937
1263|14.763
1264|14.93
1265|58.408
1266|7.924
1268|11.727
1269|18.984
1270|10.174
1271|96.877
1273|12.182
1274|11.379
1275|17.16
1278|26.631
1279|9.266
1751|24.102
1752|10.793
1756|8.68
1767|9.974
1777|9.123
1779|10.636
1780|16.45
1781|8.366
1783|12.924
1785|13.995
1788|18.038
1789|14.01
1794|21.873
1798|13.624
1801|10.974
1809|14.663
1810|18.818
1811|25.121
1814|10.361
1823|12.051
1827|12.76
1831|15.931
1834|10.351
1835|10.978
1837|13.726
1845|39.104
1846|13.144
1855|27.087
1856|747.991
1858|25.793
1859|13.555
1861|14.114
1862|14.789
1863|19.276
1864|11.738
1867|16.877
1873|22.421
1874|12.293
1875|13.847
1876|12.771
1880|16.334
1882|24.2
1883|15.304
1884|14.129
1885|14.441
1886|9.506
1888|11.801
1890|10.162
1891|32.988
1892|8.529
1893|14.732
1894|13.558
1895|11.756
1897|11.501
1898|17.898
1900|13.93
1904|13.002
1905|9.593
1906|13.076
1907|24.367
1908|23.691
1909|10.029
1910|13.284
1911|19.076
1914|10.387
1915|28.448
1916|11.037
1917|13.787
1918|9.705
1919|16.952
1920|11.595
1921|15.423
1935|35.71
1941|15.093
1943|20.539
1947|7.538
1948|20.999
1949|7.673
1954|13.946
1955|9.038
1956|37.014
1957|11.907
1960|13.396
1963|10.217
1964|18.264
1969|8.062
1973|15.522
1978|14.996
1992|15.124
1997|13.83
2092|12.084
2118|14.776
2136|20.67
2147|13.728
2150|13.459
2153|14.514
2155|43.413
2165|11.852
2177|13.526
2190|18.326
2192|9.437
2193|15.459
2195|42.19
2200|12.931
2202|12.655
2206|10.419
2211|18.562
2223|11.864
2226|9.242
2230|24.803
2235|11.01
2243|18.176
2246|15.611
2248|17.646
2250|10.095
2263|16.693
2266|17.396
2271|19.695
2285|50.043
2287|14.391
2300|11.225
2301|11.199
2302|17.959
2307|94.499
2322|18.046
2326|10.874
2447|15.659
2451|11.065
2452|23.266
2546|63.433
2548|16.019
2549|8.098
2588|10.061
2602|12.055
2603|17.86
2604|13.396
2605|9.505
2606|19.75
2607|8.464
2608|11.129
2609|8.699
2610|11.001
2611|24.992
2612|8.933
2613|12.082
2614|14.579
2615|12.096
2616|13.155
2646|9.139
2648|64.118
2649|10.931
2651|135.53
2653|8.796
2654|14.284
2660|12.254
2662|38.269
2664|15.557
2668|11.573
2674|14.671
2685|11.127
2707|12.65
2709|9.604
2711|10.566
2713|9.125
2715|26.246
2717|22.173
2726|448.315
2729|18.026
2735|16.522
2736|8.798
2738|10.853
2741|11.958
2749|10.737
2750|13.021
2789|9.214
2827|9.167
2828|10.377
2873|11.951
2874|19.068
2875|14.43
2876|8.24
2877|9.393
2879|9.533
2880|12.559
2882|12.726
2883|14.748
2886|9.923
2887|10.521
2888|9.885
2889|21.765
2890|7.793
2891|12.34
2892|14.21
2893|122.688
2894|11.554
2896|9.43
2899|36.575
2900|13.886
2901|26.631
2902|13.243
2903|10.041
2904|24.141
2905|24.928
2906|15.593
2907|11.737
2908|11.421
2909|14.18
2910|12.19
2911|9.828
2912|9.043
2930|12.486
2982|15.133
2987|13.375
2988|19.958
2992|1329.77
2993|12.305
2994|11.144
2995|19.597
2996|13.165
2997|10.984
2998|10.317
2999|21.464
3000|11.433
3002|12.584
3004|16.459
3006|14.925
3007|34.581
3008|8.993
3009|12.509
3011|22.432
3023|23.41
3024|11.411
3048|16.041
3049|10.661
3050|15.191
3052|16.589
3054|13.006
3056|19.341
3057|12.058
3059|19.188
3060|18.848
3062|10.758
3063|9.044
3064|11.11
3066|19.358
3124|20.042
3125|33.63
3126|9.916
3127|9.165
3129|15.287
3132|10.745
3133|19.835
3135|9.942
3136|26.918
3137|18.238
3138|9.905
3139|13.888
3140|20.053
3141|16.192
3142|24.336
3143|11.847
3144|9.541
3145|17.618
3146|10.772
3148|14.331
3150|16.569
3152|14.544
3154|14.507
3155|10.16
3156|14.852
3158|11.092
3159|14.257
3160|15644.115
3161|374.709
3163|8.381
3165|11.448
3168|21.948
3171|11.085
3172|16.658
3173|11.989
3174|28.786
3176|10.126
3177|11.479
3179|11.591
3189|22.369
3205|11.066
3206|8.714
3207|13.865
3208|11.881
3212|12.204
3213|12.688
3215|13.672
3216|15.065
3217|11.436
3218|31.513
3220|14.82
3221|10.938
3222|11.849
3230|11.856
3247|18.051
3256|11.457
3275|28.567
3276|16.024
3309|22.692
3311|43.522
3312|12.34
3313|13.396
3314|11.35
3315|9.26
3316|9.435
3317|11.846
3318|10.749
3319|11.969
3320|13.455
3321|23.212
3322|18.768
3323|24.323
3325|9.864
3326|16.459
3327|9.561
3328|10.645
3329|11.246
3330|9.438
3331|9.252
3332|10.914
3336|11.302
3337|13.138
3338|10.867
3339|10.457
3341|10.892
3342|11.649
3343|20.765
3346|8.997
3347|6.463
3348|10.865
3349|17.016
3350|9.394
3351|11.203
3352|9.988
3354|12.357
3355|16.975
3356|13.578
3357|12.426
3358|10.093
3359|18.393
3360|14.95
3361|13.255
3363|11.538
3364|10.996
3365|20.071
3366|12.974
3367|12.063
3368|9.687
3369|24.79
3370|9.449
3372|12.366
3373|12.75
3374|16.517
3375|24.725
3377|8.947
3379|15.614
3381|32.416
3388|8.377
3389|37.744
3393|14.175
3394|12.575
3395|16.836
3396|20.566
3397|14.039
3399|12.889
3400|12.714
3401|12.098
3408|32.36
3410|10.578
3411|10.947
3412|13.811
3415|15.908
3424|13.453
3425|15.465
3430|22.735
3431|22.662
3438|9.821
3441|35.26
3442|38.173
3443|14.738
3445|10.628
3446|10.782
3447|13.389
3449|11.21
3451|12.961
3452|11.984
3454|17.502
3455|13.749
3456|28.05
3457|12.582
3462|14.379
3495|18.403
3497|10.227
3498|32.995
3504|21.617
3511|64.381
3540|13.062
3543|20.937
3544|33.083
3545|13.933
3595|10.012
3596|12.754
3605|16.591
3634|19.336
3645|14.157
3651|11.076
3654|9.842
3658|14.089
3659|10.048
3660|13.504
3714|11.266
3715|14.353
3722|10.13
3725|10.807
3729|7.915
3730|13.146
3734|9.903
3739|10.731
3740|12.549
3741|13.29
3743|11.226
3745|16.01
3748|15.787
3749|8.095
3755|8.637
3756|15.768
3759|41.107
3760|22.647
3763|19.082
3765|16.159
3767|77.291
3781|13.241
3797|11.922
3802|10.533
3803|219.212
3804|103.786
3807|21.582
3808|12.253
3809|7.718
3811|11.979
3815|10.367
3817|8.793
3818|15.528
3819|18.145
3821|168.946
3822|13.398
3824|846.806
3827|15.232
3831|14.002
3832|18.52
3836|10.496
3839|11.401
3841|20.758
3842|22.109
3843|16.799
3844|16.279
3847|12.51
3848|18.26
3849|18.95
3853|29.069
3865|34.433
3941|24.288
3954|8.978
3955|8.221
3957|21.972
3961|12.708
3962|19.881
3967|10.973
3972|9.964
3981|31.305
3982|8.472
3984|10.042
3985|17.59
3986|17.918
3987|24.742
4121|25.264
4161|12.359
4168|10.945
4169|15.26
4171|12.664
4172|14.942
4173|20.594
4174|24.134
4177|26.01
4178|15.534
4208|14.814
4214|10.401
4215|8.956
4216|11.057
4219|17.68
4224|10.667
4260|13.612
4318|13.819
5000|15.805
5001|13.805
5002|10.825
5005|10.463
5006|8.985
5007|15.34
5008|18.107
5009|13.359
5013|16.513
5014|9.717
5015|9.694
5016|15.851
5017|10.461
5018|25.579
5020|22.139
5023|120.47
5024|11.346
5026|11.533
5027|10.881
5028|29.994
5030|12.364
5031|12.682
5034|12.218
5035|11.95
5037|9.615
5038|13.132
5039|25.181
5040|12.076
5041|12.219
5042|10.692
5043|9.44
5044|17.461
5045|12.678
5047|13.688
5050|13.491
5052|12.964
5055|11.881
5056|11.128
5057|13.161
5058|21.944
5059|210.382
5061|12.805
5063|22.304
5065|15.688
5068|16.689
5069|25.551
5070|12.613
5071|20.967
5072|1215.543
5073|13.931
5075|65.368
5076|13.404
5078|17.003
5079|13.823
5081|13.879
5082|17.889
5085|15.151
5087|10.814
5088|9.963
5089|12.763
5091|13.448
5093|13.712
5094|12.063
5095|19.863
5097|11.036
5099|15.665
5102|17.265
5104|15.12
5224|22.018
5226|13.052
5972|8.95
5974|9.2
6394|20.289
6400|8.262
6405|9.304
6406|10.948
6416|9.609
6417|10.539
6418|1493.399
6419|15.842
6420|14.558
6421|14.279
6422|13.618
6423|11.514
6424|22.002
6425|22.488
6426|14.513
6428|12.648
6429|12.218
6430|7.839
6431|12.836
6433|299.326
6435|17.292
6438|21.639
6443|19.83
6446|11.774
6448|17.555
6450|39.969
6452|10.815
6458|86.259
6465|12.589
6467|11.255
6479|8.992
6480|13.071
6481|18.71
6482|15.707
6986|8.505
7061|31.841
7064|17.289
7066|1417.875
7067|14.131
7073|27.308
7079|10.916
7126|16.747
7131|7.876
7141|13.059
7144|24.913
7146|13.275
7147|22.151
7172|41.093
7192|10.875
7279|8.343
7283|10.36
7286|14.273
7287|24.917
7314|13.372
7315|20.032
7323|11.171
7324|10.129
7330|8.319
7339|14.828
7426|12.626
7439|22.541
7608|21.705
7609|10.82
8079|10.371
8159|17.451
8160|12.497
8174|11.253
